Inv_name,Inv_type,Inv_color,Inv_size,No_comm,Com_name,Com_type,Com_color,Com_size,Tot_raised,Pref_industry,Pref_vertical,Pref_geography,Pref_inv_type,PBID,Inv_label,Com_label,Com_ini_date,Com_industry,Com_bus_status,Com_own_status,Com_fin_status,Com_verticals
500 Global,Venture Capital,white,20,160,"Critical Ideas, Inc.",Centaur,#eafe60,70,304590000,No Preference,No Preference,No Preference,No Preference,0,"Type: Venture Capital, Co-investments: 160","Type: Centaur, Cap raised: ~$304590000",2018,Financial Technology,Generating Revenue,Privately Held (backing),Venture Capital-Backed,"Payment Processing & Networks;FinTech;Mobile Commerce;Web 3.0;UN Sustainable Development Goals (UNSDGs);UNSDG 1: No Poverty;UNSDG 5: Gender Equality;UNSDG 9: Industry, Innovation and Infrastructure;UNSDG 10: Reduced Inequality"
9Yards Capital,Venture Capital,white,20,3,"Critical Ideas, Inc.",Centaur,#eafe60,70,304590000,"Commercial Transportation, Financial Software, Other Business Products and Services, Other Financial Services, Other Information Technology, Other Software","Advanced Manufacturing, B2B Payments, FinTech, LOHAS & Wellness, Micro-Mobility, Mobility Tech, SaaS, Supply Chain Tech, TMT",No Preference,"Early Stage VC, Later Stage VC, Seed Round",235306-45,"Type: Venture Capital, Co-investments: 3","Type: Centaur, Cap raised: ~$304590000",2018,Financial Technology,Generating Revenue,Privately Held (backing),Venture Capital-Backed,"Payment Processing & Networks;FinTech;Mobile Commerce;Web 3.0;UN Sustainable Development Goals (UNSDGs);UNSDG 1: No Poverty;UNSDG 5: Gender Equality;UNSDG 9: Industry, Innovation and Infrastructure;UNSDG 10: Reduced Inequality"
Anant Chimmalgi,Angel (individual),white,20,2,"Critical Ideas, Inc.",Centaur,#eafe60,70,304590000,,,No Preference,Angel (individual),461858-59,"Type: Angel (individual), Co-investments: 2","Type: Centaur, Cap raised: ~$304590000",2018,Financial Technology,Generating Revenue,Privately Held (backing),Venture Capital-Backed,"Payment Processing & Networks;FinTech;Mobile Commerce;Web 3.0;UN Sustainable Development Goals (UNSDGs);UNSDG 1: No Poverty;UNSDG 5: Gender Equality;UNSDG 9: Industry, Innovation and Infrastructure;UNSDG 10: Reduced Inequality"
Bezos Expeditions,Family Office,white,20,2,"Critical Ideas, Inc.",Centaur,#eafe60,70,304590000,Software,"FinTech, TMT",No Preference,"Early Stage VC, Later Stage VC, Seed Round",40830-76,"Type: Family Office, Co-investments: 2","Type: Centaur, Cap raised: ~$304590000",2018,Financial Technology,Generating Revenue,Privately Held (backing),Venture Capital-Backed,"Payment Processing & Networks;FinTech;Mobile Commerce;Web 3.0;UN Sustainable Development Goals (UNSDGs);UNSDG 1: No Poverty;UNSDG 5: Gender Equality;UNSDG 9: Industry, Innovation and Infrastructure;UNSDG 10: Reduced Inequality"
Bossanova Investimentos,Investor,white,20,6,"Critical Ideas, Inc.",Centaur,#eafe60,70,304590000,No Preference,No Preference,No Preference,No Preference,0,"Type: Investor, Co-investments: 6","Type: Centaur, Cap raised: ~$304590000",2018,Financial Technology,Generating Revenue,Privately Held (backing),Venture Capital-Backed,"Payment Processing & Networks;FinTech;Mobile Commerce;Web 3.0;UN Sustainable Development Goals (UNSDGs);UNSDG 1: No Poverty;UNSDG 5: Gender Equality;UNSDG 9: Industry, Innovation and Infrastructure;UNSDG 10: Reduced Inequality"
Catalyst Fund,Impact Investing,white,20,2,"Critical Ideas, Inc.",Centaur,#eafe60,70,304590000,Software,FinTech,No Preference,Grant,169828-93,"Type: Impact Investing, Co-investments: 2","Type: Centaur, Cap raised: ~$304590000",2018,Financial Technology,Generating Revenue,Privately Held (backing),Venture Capital-Backed,"Payment Processing & Networks;FinTech;Mobile Commerce;Web 3.0;UN Sustainable Development Goals (UNSDGs);UNSDG 1: No Poverty;UNSDG 5: Gender Equality;UNSDG 9: Industry, Innovation and Infrastructure;UNSDG 10: Reduced Inequality"
Kube VC,Venture Capital,white,20,6,"Critical Ideas, Inc.",Centaur,#eafe60,70,304590000,"Aerospace and Defense, Educational and Training Services (B2C), Financial Services, Healthcare, Human Capital Services, IT Services, Logistics, Media, Other Business Products and Services, Other Consumer Products and Services, Other Information Technology, Other Services (B2C Non-Financial), Real Estate Services (B2C), Software","Advanced Manufacturing, Artificial Intelligence & Machine Learning, Digital Health, E-Commerce, EdTech, FinTech, HealthTech, LOHAS & Wellness, Micro-Mobility, Mobility Tech",No Preference,"Early Stage VC, Later Stage VC, Seed Round",496166-59,"Type: Venture Capital, Co-investments: 6","Type: Centaur, Cap raised: ~$304590000",2018,Financial Technology,Generating Revenue,Privately Held (backing),Venture Capital-Backed,"Payment Processing & Networks;FinTech;Mobile Commerce;Web 3.0;UN Sustainable Development Goals (UNSDGs);UNSDG 1: No Poverty;UNSDG 5: Gender Equality;UNSDG 9: Industry, Innovation and Infrastructure;UNSDG 10: Reduced Inequality"
Liquid 2 Ventures,Venture Capital,white,20,3,"Critical Ideas, Inc.",Centaur,#eafe60,70,304590000,"Communications and Networking, Pharmaceuticals and Biotechnology, Software","Artificial Intelligence & Machine Learning, Mobile, SaaS, TMT",No Preference,"Early Stage VC, Seed Round",149517-28,"Type: Venture Capital, Co-investments: 3","Type: Centaur, Cap raised: ~$304590000",2018,Financial Technology,Generating Revenue,Privately Held (backing),Venture Capital-Backed,"Payment Processing & Networks;FinTech;Mobile Commerce;Web 3.0;UN Sustainable Development Goals (UNSDGs);UNSDG 1: No Poverty;UNSDG 5: Gender Equality;UNSDG 9: Industry, Innovation and Infrastructure;UNSDG 10: Reduced Inequality"
One Way Ventures,Venture Capital,white,20,2,"Critical Ideas, Inc.",Centaur,#eafe60,70,304590000,"IT Services, Other Information Technology, Software","AgTech, Artificial Intelligence & Machine Learning, Augmented Reality, Autonomous cars, B2B Payments, Big Data, CleanTech, Climate Tech, Construction Technology, Cybersecurity, Digital Health, EdTech, FinTech, FoodTech, Internet of Things, Mobility Tech, Real Estate Technology, Robotics and Drones, SaaS, Space Technology, Virtual Reality",No Preference,"Early Stage VC, Later Stage VC, Seed Round",185667-76,"Type: Venture Capital, Co-investments: 2","Type: Centaur, Cap raised: ~$304590000",2018,Financial Technology,Generating Revenue,Privately Held (backing),Venture Capital-Backed,"Payment Processing & Networks;FinTech;Mobile Commerce;Web 3.0;UN Sustainable Development Goals (UNSDGs);UNSDG 1: No Poverty;UNSDG 5: Gender Equality;UNSDG 9: Industry, Innovation and Infrastructure;UNSDG 10: Reduced Inequality"
Raptor Group,Venture Capital,white,20,4,"Critical Ideas, Inc.",Centaur,#eafe60,70,304590000,"Consumer Durables, Consumer Non-Durables, Healthcare Devices and Supplies, Healthcare Services, Healthcare Technology Systems, Media and Information Services (B2B), Movies, Music and Entertainment, Other Business Products and Services, Other Commercial Services, Other Consumer Products and Services, Other Financial Services, Other Healthcare, Other Information Technology, Other Media, Pharmaceuticals and Biotechnology, Services (Non-Financial), Software","AdTech, Advanced Manufacturing, B2B Payments, Digital Health, E-Commerce, Esports, FinTech, Gaming, HealthTech, Internet of Things, LOHAS & Wellness, Manufacturing, SaaS, TMT",No Preference,"Early Stage VC, Later Stage VC, PE Growth/Expansion, Seed Round",52916-50,"Type: Venture Capital, Co-investments: 4","Type: Centaur, Cap raised: ~$304590000",2018,Financial Technology,Generating Revenue,Privately Held (backing),Venture Capital-Backed,"Payment Processing & Networks;FinTech;Mobile Commerce;Web 3.0;UN Sustainable Development Goals (UNSDGs);UNSDG 1: No Poverty;UNSDG 5: Gender Equality;UNSDG 9: Industry, Innovation and Infrastructure;UNSDG 10: Reduced Inequality"
