Inv_name,Inv_type,Inv_color,Inv_size,No_comm,Com_name,Com_type,Com_color,Com_size,Tot_raised,Pref_industry,Pref_vertical,Pref_geography,Pref_inv_type,PBID,Inv_label,Com_label,Com_ini_date,Com_industry,Com_bus_status,Com_own_status,Com_fin_status,Com_verticals
500 Global,Venture Capital,white,20,1202,"Locl Interactive, Inc.",Seed / Series A,#eafe60,30,1010000,No Preference,No Preference,No Preference,No Preference,0,"Type: Venture Capital, Co-investments: 1202","Type: Seed / Series A, Cap raised: ~$1010000",2017,Software and Services,Generating Revenue,Privately Held (backing),Venture Capital-Backed,"Artificial Intelligence And Machine Learning (AI/ML);Big Data;Mobile;Software As A Service (SaaS);Technology, Media And Telecommunications (TMT)"
FundersClub,Venture Capital,white,20,19,"Locl Interactive, Inc.",Seed / Series A,#eafe60,30,1010000,"Commercial Services, Other Consumer Products and Services, Software, Transportation","Cybersecurity, E-Commerce, HR Tech, Industrials, Manufacturing, Mobile, SaaS, TMT",No Preference,"Early Stage VC, Later Stage VC, Seed Round",54886-96,"Type: Venture Capital, Co-investments: 19","Type: Seed / Series A, Cap raised: ~$1010000",2017,Software and Services,Generating Revenue,Privately Held (backing),Venture Capital-Backed,"Artificial Intelligence And Machine Learning (AI/ML);Big Data;Mobile;Software As A Service (SaaS);Technology, Media And Telecommunications (TMT)"
500 Global,Venture Capital,white,20,1202,Acadium Inc.,Seed / Series A,#eafe60,30,110000,No Preference,No Preference,No Preference,No Preference,0,"Type: Venture Capital, Co-investments: 1202","Type: Seed / Series A, Cap raised: ~$110000",2020,Consumer,Generating Revenue,Privately Held (backing),Venture Capital-Backed,EdTech;UN Sustainable Development Goals (UNSDGs);UNSDG 4: Quality Education;UNSDG 5: Gender Equality;UNSDG 10: Reduced Inequality
Tom Williams,Angel (individual),white,20,4,Acadium Inc.,Seed / Series A,#eafe60,30,110000,Software,TMT,No Preference,,226401-58,"Type: Angel (individual), Co-investments: 4","Type: Seed / Series A, Cap raised: ~$110000",2020,Consumer,Generating Revenue,Privately Held (backing),Venture Capital-Backed,EdTech;UN Sustainable Development Goals (UNSDGs);UNSDG 4: Quality Education;UNSDG 5: Gender Equality;UNSDG 10: Reduced Inequality
212,Venture Capital,white,20,4,App Samurai Inc.,Seed / Series A,#eafe60,40,3540000,"Business Products and Services (B2B), Financial Services, Software","AdTech, Artificial Intelligence & Machine Learning, Cybersecurity, E-Commerce, FinTech, Micro-Mobility, SaaS",No Preference,"Angel (individual), Convertible Debt, Early Stage VC, Equity For Service, Later Stage VC, Seed Round",81723-43,"Type: Venture Capital, Co-investments: 4","Type: Seed / Series A, Cap raised: ~$3540000",2017,Software and Services,Generating Revenue,Privately Held (backing),Venture Capital-Backed,"AdTech;Marketing Tech;Mobile;Software As A Service (SaaS);Technology, Media And Telecommunications (TMT)"
500 Global,Venture Capital,white,20,1202,App Samurai Inc.,Seed / Series A,#eafe60,40,3540000,No Preference,No Preference,No Preference,No Preference,0,"Type: Venture Capital, Co-investments: 1202","Type: Seed / Series A, Cap raised: ~$3540000",2017,Software and Services,Generating Revenue,Privately Held (backing),Venture Capital-Backed,"AdTech;Marketing Tech;Mobile;Software As A Service (SaaS);Technology, Media And Telecommunications (TMT)"
Techstars,Accelerator/Incubator,white,20,35,App Samurai Inc.,Seed / Series A,#eafe60,40,3540000,"Beverages, Computer Hardware, Education and Training Services (B2B), Educational and Training Services (B2C), Energy, Financial Services, Food Products, Healthcare, Media, Restaurants, Hotels and Leisure, Software","3D Printing, AdTech, Advanced Manufacturing, AgTech, Artificial Intelligence & Machine Learning, AudioTech, Augmented Reality, Autonomous cars, B2B Payments, Beauty, Big Data, Car-Sharing, CleanTech, Climate Tech, CloudTech & DevOps, Construction Technology, Cryptocurrency/Blockchain, Cybersecurity, Digital Health, E-Commerce, EdTech, Ephemeral Content, Esports, FemTech, FinTech, FoodTech, Gaming, HealthTech, HR Tech, Impact Investing, Infrastructure, InsurTech, Internet of Things, Legal Tech, Marketing Tech, Micro-Mobility, Mobile, Mobile Commerce, Mobility Tech, Mortgage Tech, Oil & Gas, Pet Technology, Real Estate Technology, Restaurant Technology, Ridesharing, Robotics and Drones, SaaS, Space Technology, Supply Chain Tech, Virtual Reality, Wearables & Quantified Self",No Preference,"Accelerator/Incubator, Early Stage VC, Later Stage VC, Seed Round",50933-44,"Type: Accelerator/Incubator, Co-investments: 35","Type: Seed / Series A, Cap raised: ~$3540000",2017,Software and Services,Generating Revenue,Privately Held (backing),Venture Capital-Backed,"AdTech;Marketing Tech;Mobile;Software As A Service (SaaS);Technology, Media And Telecommunications (TMT)"
500 Global,Venture Capital,white,20,1202,Trustless Networks Limited,Seed / Series A,#eafe60,30,510000,No Preference,No Preference,No Preference,No Preference,0,"Type: Venture Capital, Co-investments: 1202","Type: Seed / Series A, Cap raised: ~$510000",2019,Financial Technology,Generating Revenue,Privately Held (backing),Venture Capital-Backed,"Cryptocurrency And Blockchain;FinTech;Mobile;Software As A Service (SaaS);Web 3.0;UN Sustainable Development Goals (UNSDGs);UNSDG 1: No Poverty;UNSDG 8: Decent Work and Economic Growth;UNSDG 9: Industry, Innovation and Infrastructure;UNSDG 10: Reduced Inequality;UNSDG 16: Peace and Justice Strong Institutions"
500 Global,Venture Capital,white,20,1202,"Silk and Sonder, Inc.",Seed / Series A,#eafe60,40,4090000,No Preference,No Preference,No Preference,No Preference,0,"Type: Venture Capital, Co-investments: 1202","Type: Seed / Series A, Cap raised: ~$4090000",2019,Healthcare,Generating Revenue,Privately Held (backing),Venture Capital-Backed,Ecommerce;HealthTech;Mental Health Tech;UN Sustainable Development Goals (UNSDGs);UNSDG 3: Good Health and Well-being
Redpoint Ventures,Venture Capital,white,20,3,"Silk and Sonder, Inc.",Seed / Series A,#eafe60,40,4090000,"Business Products and Services (B2B), Communications and Networking, Healthcare, Media, Software","Big Data, FinTech, Internet of Things, Manufacturing, Mobile, SaaS, TMT",No Preference,"Early Stage VC, Later Stage VC, PE Growth/Expansion, Seed Round",11281-06,"Type: Venture Capital, Co-investments: 3","Type: Seed / Series A, Cap raised: ~$4090000",2019,Healthcare,Generating Revenue,Privately Held (backing),Venture Capital-Backed,Ecommerce;HealthTech;Mental Health Tech;UN Sustainable Development Goals (UNSDGs);UNSDG 3: Good Health and Well-being
