Inv_name,Inv_type,Inv_color,Inv_size,No_comm,Com_name,Com_type,Com_color,Com_size,Tot_raised,Pref_industry,Pref_vertical,Pref_geography,Pref_inv_type,PBID,Inv_label,Com_label,Com_ini_date,Com_industry,Com_bus_status,Com_own_status,Com_fin_status,Com_verticals
500 Global,Venture Capital,white,20,40,Mercury Technologies,Unicorn,#eafe60,30,166690000,No Preference,No Preference,No Preference,No Preference,0,"Type: Venture Capital, Co-investments: 40","Type: Unicorn, Cap raised: ~$166690000",2019,Financial Technology,Generating Revenue,Privately Held (backing),Venture Capital-Backed,Digital Banking;FinTech;UN Sustainable Development Goals (UNSDGs);UNSDG 1: No Poverty;UNSDG 8: Decent Work and Economic Growth;UNSDG 10: Reduced Inequality;Security Deposit Alternatives
Anant Chimmalgi,Angel (individual),white,20,4,Mercury Technologies,Unicorn,#eafe60,30,166690000,,,No Preference,Angel (individual),461858-59,"Type: Angel (individual), Co-investments: 4","Type: Unicorn, Cap raised: ~$166690000",2019,Financial Technology,Generating Revenue,Privately Held (backing),Venture Capital-Backed,Digital Banking;FinTech;UN Sustainable Development Goals (UNSDGs);UNSDG 1: No Poverty;UNSDG 8: Decent Work and Economic Growth;UNSDG 10: Reduced Inequality;Security Deposit Alternatives
Andreessen Horowitz,Venture Capital,white,20,3,Mercury Technologies,Unicorn,#eafe60,30,166690000,"Consumer Products and Services (B2C), Financial Services, Healthcare Technology Systems, Pharmaceuticals and Biotechnology, Software","AdTech, Cryptocurrency/Blockchain, Cybersecurity, E-Commerce, FinTech, FoodTech, Gaming, Life Sciences, Marketing Tech, SaaS, TMT",No Preference,"Early Stage VC, Later Stage VC, PE Growth/Expansion, Seed Round",41716-90,"Type: Venture Capital, Co-investments: 3","Type: Unicorn, Cap raised: ~$166690000",2019,Financial Technology,Generating Revenue,Privately Held (backing),Venture Capital-Backed,Digital Banking;FinTech;UN Sustainable Development Goals (UNSDGs);UNSDG 1: No Poverty;UNSDG 8: Decent Work and Economic Growth;UNSDG 10: Reduced Inequality;Security Deposit Alternatives
Browder Capital,Venture Capital,white,20,2,Mercury Technologies,Unicorn,#eafe60,30,166690000,"Business Products and Services (B2B), Consumer Products and Services (B2C), Information Technology","B2B Payments, FinTech, SaaS",No Preference,"Early Stage VC, Seed Round",471089-17,"Type: Venture Capital, Co-investments: 2","Type: Unicorn, Cap raised: ~$166690000",2019,Financial Technology,Generating Revenue,Privately Held (backing),Venture Capital-Backed,Digital Banking;FinTech;UN Sustainable Development Goals (UNSDGs);UNSDG 1: No Poverty;UNSDG 8: Decent Work and Economic Growth;UNSDG 10: Reduced Inequality;Security Deposit Alternatives
Chapter One,Venture Capital,white,20,2,Mercury Technologies,Unicorn,#eafe60,30,166690000,"Capital Markets/Institutions, Commercial Products, Commercial Transportation, Communications and Networking, Education and Training Services (B2B), Educational and Training Services (B2C), Media, Other Business Products and Services, Other Financial Services, Real Estate Services (B2C), Software","Big Data, Cryptocurrency/Blockchain, Cybersecurity, E-Commerce, EdTech, FinTech, Gaming, Manufacturing, Real Estate Technology, SaaS",No Preference,"Early Stage VC, Later Stage VC, Seed Round",234705-97,"Type: Venture Capital, Co-investments: 2","Type: Unicorn, Cap raised: ~$166690000",2019,Financial Technology,Generating Revenue,Privately Held (backing),Venture Capital-Backed,Digital Banking;FinTech;UN Sustainable Development Goals (UNSDGs);UNSDG 1: No Poverty;UNSDG 8: Decent Work and Economic Growth;UNSDG 10: Reduced Inequality;Security Deposit Alternatives
Coatue Management,PE/Buyout,white,20,5,Mercury Technologies,Unicorn,#eafe60,30,166690000,"Media and Information Services (B2B), Other Information Technology, Telecommunications Service Providers","AdTech, Infrastructure, TMT",No Preference,"Buyout/LBO, PE Growth/Expansion",56091-70,"Type: PE/Buyout, Co-investments: 5","Type: Unicorn, Cap raised: ~$166690000",2019,Financial Technology,Generating Revenue,Privately Held (backing),Venture Capital-Backed,Digital Banking;FinTech;UN Sustainable Development Goals (UNSDGs);UNSDG 1: No Poverty;UNSDG 8: Decent Work and Economic Growth;UNSDG 10: Reduced Inequality;Security Deposit Alternatives
CRV,Venture Capital,white,20,2,Mercury Technologies,Unicorn,#eafe60,30,166690000,"Commercial Services, Communications and Networking, Computer Hardware, Consumer Products and Services (B2C), IT Services, Software","AdTech, Artificial Intelligence & Machine Learning, Augmented Reality, Big Data, Cryptocurrency/Blockchain, Cybersecurity, E-Commerce, FinTech, FoodTech, Gaming, HealthTech, Infrastructure, Internet of Things, Life Sciences, Manufacturing, Marketing Tech, Mobile, Mobile Commerce, Robotics and Drones, SaaS, TMT, Virtual Reality",No Preference,"Early Stage VC, Later Stage VC, Seed Round",10133-20,"Type: Venture Capital, Co-investments: 2","Type: Unicorn, Cap raised: ~$166690000",2019,Financial Technology,Generating Revenue,Privately Held (backing),Venture Capital-Backed,Digital Banking;FinTech;UN Sustainable Development Goals (UNSDGs);UNSDG 1: No Poverty;UNSDG 8: Decent Work and Economic Growth;UNSDG 10: Reduced Inequality;Security Deposit Alternatives
CSC UpShot Ventures,Venture Capital,white,20,2,Mercury Technologies,Unicorn,#eafe60,30,166690000,Software,TMT,No Preference,"Early Stage VC, Seed Round",125702-02,"Type: Venture Capital, Co-investments: 2","Type: Unicorn, Cap raised: ~$166690000",2019,Financial Technology,Generating Revenue,Privately Held (backing),Venture Capital-Backed,Digital Banking;FinTech;UN Sustainable Development Goals (UNSDGs);UNSDG 1: No Poverty;UNSDG 8: Decent Work and Economic Growth;UNSDG 10: Reduced Inequality;Security Deposit Alternatives
Elad Gil,Angel (individual),white,20,2,Mercury Technologies,Unicorn,#eafe60,30,166690000,Software,TMT,No Preference,,106041-70,"Type: Angel (individual), Co-investments: 2","Type: Unicorn, Cap raised: ~$166690000",2019,Financial Technology,Generating Revenue,Privately Held (backing),Venture Capital-Backed,Digital Banking;FinTech;UN Sustainable Development Goals (UNSDGs);UNSDG 1: No Poverty;UNSDG 8: Decent Work and Economic Growth;UNSDG 10: Reduced Inequality;Security Deposit Alternatives
Highfield Capital,Venture Capital,white,20,2,Mercury Technologies,Unicorn,#eafe60,30,166690000,"IT Services, Other Information Technology, Software",TMT,No Preference,"Early Stage VC, Later Stage VC, Seed Round",504035-74,"Type: Venture Capital, Co-investments: 2","Type: Unicorn, Cap raised: ~$166690000",2019,Financial Technology,Generating Revenue,Privately Held (backing),Venture Capital-Backed,Digital Banking;FinTech;UN Sustainable Development Goals (UNSDGs);UNSDG 1: No Poverty;UNSDG 8: Decent Work and Economic Growth;UNSDG 10: Reduced Inequality;Security Deposit Alternatives
